"exam_mode","official_part","official_number","question_text","question_type","option_a","option_b","option_c","option_d","option_e","correct_answer","accepted_answers","response_subtype","topic","subtopic","difficulty","points","source","explanation"
"rikz_russian_2026","A","11","Укажите предложения, в которых выделенное слово или сочетание является вводным и должно обособляться.","multi_select_five","*По словам синоптика* вечером похолодает.","Решение задачи оказалось *очевидно*.","Он *вероятно* задержится до утра.","*Однако* вечером ветер стих.","*К счастью* поезд отправился вовремя.","A,C,E","","","Вводные слова","Источник сообщения, степень уверенности и эмоциональная оценка","medium","2","original_authoring_qa_2026-07-10","По словам синоптика указывает на источник сообщения, вероятно выражает степень уверенности, к счастью передаёт оценку. Очевидно в B входит в сказуемое. Однако в начале предложения является союзом."
"rikz_russian_2026","A","12","Укажите предложения, в которых на месте знака □ между однородными членами необходимо поставить запятую.","multi_select_five","В саду росли яблони□ груши□ сливы.","В комнате было светло□ и прохладно.","Он то ускорял шаг□ то внезапно останавливался.","Мы взяли с собой карту□ и компас.","Он вошёл в кабинет□ и сразу сел.","A,C","","","Однородные члены","Бессоюзное перечисление и повторяющиеся союзы","medium","2","original_authoring_qa_2026-07-10","В A три однородных члена перечислены без союзов. В C повторяется союз то... то. При одиночном союзе и запятая не ставится."
"rikz_russian_2026","A","13","Укажите предложения, в которых знаки препинания расставлены правильно.","multi_select_five","Когда стемнело, мы зажгли фонари.","Я знал, что поезд опоздает, и поэтому не спешил.","Ветер усилился и, волны стали выше.","Дом, который стоял у реки был пуст.","Солнце скрылось за тучами, но дождь так и не начался.","A,B,E","","","Пунктуация сложного предложения","СПП, ССП и границы придаточной части","medium","2","original_authoring_qa_2026-07-10","В A отделено придаточное времени. В B запятая закрывает придаточную часть. В E запятая стоит перед но. В C запятая ошибочна, в D пропущена запятая после придаточного."
"rikz_russian_2026","A","14","Укажите предложения, в которых знаки препинания расставлены правильно.","multi_select_five","Я оглянулся: за окном уже светало.","Сделаешь шаг вперёд — дорога станет понятнее.","Когда мы вышли на улицу: дождь уже закончился.","Он сказал: что вернётся к вечеру.","Я хотел возразить, но понял: спор продолжать бессмысленно.","A,B,E","","","Сложная пунктуация","Двоеточие и тире в бессоюзных и комбинированных конструкциях","hard","2","original_authoring_qa_2026-07-10","В A вторая часть поясняет увиденное; в B тире передаёт условно-следственное отношение; в E раскрывается содержание мысли. В C и D двоеточие разрывает главную и придаточную части."
"rikz_russian_2026","A","15","Укажите примеры, в которых чужая речь оформлена правильно.","multi_select_five","«Я вернусь завтра», — сказал Андрей.","Марина спросила: «Вы уже закончили работу?»","«Поторопись! — крикнул проводник. — Поезд отправляется».","Он сказал, «Я всё проверил».","«Где вы были»? — спросила она.","A,B,C","","","Чужая речь","Прямая речь до и после слов автора","medium","2","original_authoring_qa_2026-07-10","В A, B и C прямая речь оформлена нормативно. В D требуется двоеточие. В E вопросительный знак должен стоять внутри кавычек."
"rikz_russian_2026","A","16","Укажите предложения, в которых перед КАК необходимо поставить запятую.","multi_select_five","Он работал как переводчик.","Снег искрился на солнце как россыпь стекла.","Пётр известен как опытный врач.","Её голос звенел как маленький колокольчик.","Он воспринял замечание как полезный совет.","B,D","","","Обороты с как","Сравнительный оборот и значение роли","medium","2","original_authoring_qa_2026-07-10","В B и D обороты имеют значение свободного сравнения. В A и C как обозначает роль или качество, в E оборот входит в смысл сказуемого."
"rikz_russian_2026","A","17","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Какие утверждения соответствуют содержанию текста?","multi_select_five","Старый резервуар продолжал использоваться по первоначальному назначению.","Чтобы улучшить обзор, исследователи полностью перестроили здание.","Уже в первую весну после обустройства площадки там появились птицы нескольких видов.","Станцией могут пользоваться только профессиональные биологи.","Опыт станции показывает, что небольшое переосмысленное городское пространство может быть полезно и природе, и обучению.","C,E","","","Понимание текста","Извлечение фактов и обобщённого смысла","medium","2","original_authoring_qa_2026-07-10","В предложении 6 сказано о птицах нескольких видов уже первой весной. Предложения 8–9 подтверждают пользу пространства для природы и обучения."
"rikz_russian_2026","A","18","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Какие характеристики соответствуют тексту?","multi_select_five","Результаты наблюдений изложены доступно для неспециалиста.","Текст представляет собой инструкцию с обязательной последовательностью действий.","В тексте сочетаются повествование и рассуждение.","Главная задача текста — эмоционально изобразить один мгновенный пейзаж.","Автор доказывает, что любой городской природный проект требует полной перестройки здания.","A,C","","","Текстоведение","Характер изложения и типы речи","medium","2","original_authoring_qa_2026-07-10","Текст доступно сообщает о наблюдениях и выводах. В нём есть последовательность событий и рассуждение с общим выводом."
"rikz_russian_2026","B","1","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Какие средства связи используются между предложениями 7 и 8?
1) личное местоимение
2) сочинительный союз в начале предложения
3) указательное местоименное наречие
4) однокоренные слова
5) лексический повтор

Запишите номера выбранных средств подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.","short_answer_token","","","","","","","[""35"",""53""]","digits","Средства связи предложений","Местоименное наречие и лексический повтор","medium","2","original_authoring_qa_2026-07-10","Предложение 8 начинается словом поэтому, которое выражает следствие и является указательным местоименным наречием. Слова птицам и птиц образуют лексический повтор."
"rikz_russian_2026","B","2","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Из предложения 9 выпишите слово со значением «осмыслить заново, придать новое назначение или понимание».","short_answer_token","","","","","","","[""переосмыслить""]","word","Лексика текста","Контекстное значение слова","medium","2","original_authoring_qa_2026-07-10","Требуемое значение имеет глагол переосмыслить."
"rikz_russian_2026","B","3","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Из предложения 3 выпишите прилагательное с НЕ, которое пишется слитно.","short_answer_token","","","","","","","[""невыполнимой""]","word","Орфография по тексту","Слитное написание НЕ с прилагательным","medium","2","original_authoring_qa_2026-07-10","Невыполнимой пишется слитно: слово можно заменить синонимом без не — неосуществимой."
"rikz_russian_2026","B","4","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Из предложения 8 выпишите существительное с приставкой ПРИ-, которая имеет значение приближения.","short_answer_token","","","","","","","[""прилёта"",""прилета""]","word","Орфография по тексту","Значение приставки при-","medium","2","original_authoring_qa_2026-07-10","В слове прилёта приставка при- обозначает приближение."
"rikz_russian_2026","B","5","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Из предложения 6 выпишите наречие, в котором звуков на один меньше, чем букв.","short_answer_token","","","","","","","[""здесь""]","word","Фонетика","Соотношение букв и звуков","medium","2","original_authoring_qa_2026-07-10","В слове здесь пять букв и четыре звука: мягкий знак отдельного звука не обозначает."
"rikz_russian_2026","B","6","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Из предложения 9 выпишите относительное местоимение, которое является союзным словом.","short_answer_token","","","","","","","[""которое""]","word","Морфология","Разряд местоимения и функция союзного слова","medium","2","original_authoring_qa_2026-07-10","Которое — относительное местоимение и член придаточной части."
"rikz_russian_2026","B","7","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Какие морфологические признаки соответствуют глаголу «служит» в предложении 8?
1) совершенный вид
2) прошедшее время
3) изъявительное наклонение
4) настоящее время
5) множественное число

Запишите номера выбранных признаков подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.","short_answer_token","","","","","","","[""34"",""43""]","digits","Морфология","Морфологические признаки глагола","medium","2","original_authoring_qa_2026-07-10","Служит — глагол несовершенного вида, изъявительного наклонения, настоящего времени, единственного числа."
"rikz_russian_2026","B","8","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Из предложения 7 выпишите начальную форму согласованного определения к существительному «участков».","short_answer_token","","","","","","","[""спокойный""]","word","Морфология","Начальная форма прилагательного","medium","2","original_authoring_qa_2026-07-10","Определение спокойных согласуется с существительным участков; начальная форма — спокойный."
"rikz_russian_2026","B","9","Текст к заданиям A17–A18 и B1–B9

(1) На окраине небольшого города есть старый кирпичный водонапорный резервуар, давно утративший своё назначение.

(2) Несколько лет назад местные биологи предложили превратить его внутренний двор в миниатюрную станцию наблюдения за городскими птицами.

(3) Сначала идея казалась почти невыполнимой: стены закрывали обзор, а рядом проходила шумная дорога.

(4) Однако исследователи не стали перестраивать здание.

(5) Они установили под крышей лёгкие деревянные площадки, высадили во дворе кустарники и оставили узкие щели, через которые птицы могли свободно залетать внутрь.

(6) Уже первой весной здесь появились трясогузки, горихвостки и несколько пар стрижей.

(7) Наблюдения показали, что птицам важна не внешняя «дикость» места, а сочетание укрытий, воды и спокойных участков.

(8) Поэтому теперь станция служит не только лабораторией, но и учебной площадкой: школьники отмечают даты прилёта, сравнивают голоса птиц и учатся видеть закономерности в привычной городской среде.

(9) Этот опыт напоминает, что забота о природе не всегда требует больших территорий; иногда достаточно внимательно переосмыслить пространство, которое кажется бесполезным.

Определите вид подчинительной связи в словосочетании «учебной площадкой» из предложения 8. Запишите термин одним словом.","short_answer_token","","","","","","","[""согласование""]","word","Синтаксис","Виды подчинительной связи","medium","2","original_authoring_qa_2026-07-10","Зависимое прилагательное изменяется вместе с существительным в роде, числе и падеже: это согласование."
"rikz_russian_2026","B","10","Образуйте от слова «исходный» прилагательное с приставкой БЕЗ-. Запишите получившееся слово.","short_answer_token","","","","","","","[""безысходный""]","word","Орфография","Ы после русской приставки на согласную","medium","2","original_authoring_qa_2026-07-10","После русской приставки на согласную начальная и корня заменяется на ы: безысходный."
"rikz_russian_2026","B","11","Запишите слово, вставив Н или НН: тщательно организова..ый семинар.","short_answer_token","","","","","","","[""организованный""]","word","Орфография","Н и НН в суффиксах причастий","medium","2","original_authoring_qa_2026-07-10","Полное страдательное причастие с суффиксом -ованн- пишется с двумя н: организованный."
"rikz_russian_2026","B","12","В микротексте допущена одна орфографическая ошибка.

Вечером туристы расположились у костра и, несмотря на усталость, долго обсуждали завтрашний маршрут. Проводник напомнил, что в горах погода изменчива и расчитывать только на прогноз нельзя.

Выпишите ошибочно написанное слово, исправив его.","short_answer_token","","","","","","","[""рассчитывать""]","word","Орфография","Удвоенная согласная на стыке приставки и корня","medium","2","original_authoring_qa_2026-07-10","Нормативное написание — рассчитывать."
"rikz_russian_2026","B","13","Укажите цифры, на месте которых необходимо поставить запятые.

Когда поезд (1) наконец (2) остановился (3) пассажиры (4) утомлённые долгой дорогой (5) молча вышли на платформу.

Запишите выбранные цифры подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.","short_answer_token","","","","","","","[""345"",""354"",""435"",""453"",""534"",""543""]","digits","Пунктуация","Граница придаточной части и обособление причастного оборота","medium","2","original_authoring_qa_2026-07-10","Запятая 3 отделяет придаточную часть времени. Запятые 4 и 5 обособляют распространённый причастный оборот. Наконец здесь не является вводным."
"rikz_russian_2026","B","14","Как называется раздел языкознания, изучающий словарный состав языка? Запишите термин одним словом в именительном падеже.","short_answer_token","","","","","","","[""лексикология""]","word","Лексика и фразеология","Лингвистический термин","medium","2","original_authoring_qa_2026-07-10","Раздел языкознания, изучающий словарный состав языка, называется лексикологией."
"rikz_russian_2026","B","15","Из предложения выпишите вспомогательный глагол, входящий в составное глагольное сказуемое.

После разговора сотрудник начал работать внимательнее.","short_answer_token","","","","","","","[""начал""]","word","Синтаксис","Составное глагольное сказуемое","medium","2","original_authoring_qa_2026-07-10","В сочетании начал работать глагол начал выражает фазовое значение и является вспомогательной частью сказуемого."
"rikz_russian_2026","B","16","Укажите предложения, в которых нарушены лексические нормы.
1. Команда одержала поражение в финальном матче.
2. Редактор исправил неточность в заголовке.
3. Главная суть предложения стала понятна после обсуждения.
4. Экспедиция достигла цели раньше установленного срока.
5. Руководитель уделил внимание каждому замечанию.

Запишите номера выбранных предложений подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.","short_answer_token","","","","","","","[""13"",""31""]","digits","Лексические нормы","Лексическая сочетаемость и речевая избыточность","hard","2","original_authoring_qa_2026-07-10","Нормативно: потерпела поражение, но одержала победу. Сочетание главная суть избыточно. Остальные предложения нормативны."
"rikz_russian_2026","B","17","Поставьте числительное, данное в скобках, в нормативную форму. Запишите только получившуюся форму.

К экспедиции присоединилось около (пятьсот) добровольцев.","short_answer_token","","","","","","","[""пятисот""]","word","Морфологические нормы","Склонение количественного числительного","medium","2","original_authoring_qa_2026-07-10","Предлог около требует родительного падежа: около пятисот добровольцев."
"rikz_russian_2026","B","18","Укажите предложения, в которых нарушены синтаксические нормы.
1. Прочитав отчёт, у меня возникли дополнительные вопросы.
2. Те, кто участвовал в обсуждении, поддержали принятое решение.
3. Согласно приказа сотрудники должны пройти инструктаж.
4. Пассажиры своевременно оплатили за проезд.
5. Автор не только описал проблему, но и предложил способ её решения.

Запишите номера выбранных предложений подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.","short_answer_token","","","","","","","[""134"",""143"",""314"",""341"",""413"",""431""]","digits","Синтаксические нормы","Деепричастный оборот и управление","hard","2","original_authoring_qa_2026-07-10","В 1 действие деепричастия не относится к грамматическому подлежащему. После согласно нужен дательный падеж: согласно приказу. Глагол оплатить употребляется без предлога: оплатить проезд."
"rikz_russian_2026","B","19","Установите соответствие между словами и особенностями их морфемного состава.

Слова:
А. подснежник
Б. серебристый
В. ледокол
Г. бездорожье

Особенности морфемного состава:
1. В слове два корня, соединительная гласная и нулевое окончание.
2. В слове есть приставка, корень, суффикс и нулевое окончание.
3. В слове есть корень, суффикс и выраженное окончание, но нет приставки.
4. В слове есть приставка, корень, суффикс и выраженное окончание.
5. В слове есть только корень и нулевое окончание.

Запишите ответ без пробелов в формате А2Б3В1Г4.","short_answer_token","","","","","","","[""А2Б3В1Г4""]","alnum","Морфемика","Морфемный состав слова","hard","2","original_authoring_qa_2026-07-10","Подснежник: приставка, корень, суффикс, нулевое окончание. Серебристый: корень, суффикс, выраженное окончание. Ледокол: два корня, соединительная гласная, нулевое окончание. Бездорожье: приставка, корень, суффикс, выраженное окончание."
