id,part,official_number,question_type,response_subtype,prompt,options,correct_answer,accepted_answers,primary_points,difficulty,topic,rule_tested,action_required,answer_pattern,partial_policy,normalization_policy,shared_context_id,explanation,qa_status,source_ref
B3,B,3,short_answer_token,word,"Из предложения 3 выпишите прилагательное с НЕ, которое пишется слитно.",,,"[""невыполнимой""]",2,easy-medium,Орфография по тексту,Слитное написание НЕ с прилагательным,Выписать нормативную словоформу,^[А-Яа-яЁё-]+$,none,conservative,text_1,Невыполнимой пишется слитно: слово можно заменить синонимом без не — неосуществимой.,reconstructed,original_authoring_qa_2026-07-10
B4,B,4,short_answer_token,word,"Из предложения 8 выпишите существительное с приставкой ПРИ-, которая имеет значение приближения.",,,"[""прилёта"",""прилета""]",2,easy-medium,Орфография по тексту,Значение приставки при-,Найти слово в тексте,^[А-Яа-яЁё-]+$,none,conservative,text_1,В слове прилёта приставка при- обозначает приближение.,reconstructed,original_authoring_qa_2026-07-10
B5,B,5,short_answer_token,word,"Из предложения 6 выпишите наречие, в котором звуков на один меньше, чем букв.",,,"[""здесь""]",2,medium,Фонетика,Соотношение букв и звуков,Найти слово по фонетическому признаку,^[А-Яа-яЁё-]+$,none,conservative,text_1,В слове здесь пять букв и четыре звука: мягкий знак отдельного звука не обозначает.,reconstructed,original_authoring_qa_2026-07-10
B6,B,6,short_answer_token,word,"Из предложения 9 выпишите относительное местоимение, которое является союзным словом.",,,"[""которое""]",2,easy-medium,Морфология,Разряд местоимения и функция союзного слова,Найти слово в тексте,^[А-Яа-яЁё-]+$,none,conservative,text_1,Которое — относительное местоимение и член придаточной части.,reconstructed,original_authoring_qa_2026-07-10
B7,B,7,short_answer_token,digits,"Какие морфологические признаки соответствуют глаголу «служит» в предложении 8?
1) совершенный вид
2) прошедшее время
3) изъявительное наклонение
4) настоящее время
5) множественное число

Запишите номера выбранных признаков подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.",,,"[""34"",""43""]",2,medium,Морфология,Морфологические признаки глагола,Выбрать верные признаки,^[1-5]{2}$,none,conservative,text_1,"Служит — глагол несовершенного вида, изъявительного наклонения, настоящего времени, единственного числа.",reconstructed,original_authoring_qa_2026-07-10
B8,B,8,short_answer_token,word,Из предложения 7 выпишите начальную форму согласованного определения к существительному «участков».,,,"[""спокойный""]",2,medium,Морфология,Начальная форма прилагательного,Определить и записать начальную форму,^[А-Яа-яЁё-]+$,none,conservative,text_1,Определение спокойных согласуется с существительным участков; начальная форма — спокойный.,reconstructed,original_authoring_qa_2026-07-10
B9,B,9,short_answer_token,word,Определите вид подчинительной связи в словосочетании «учебной площадкой» из предложения 8. Запишите термин одним словом.,,,"[""согласование""]",2,medium,Синтаксис,Виды подчинительной связи,Назвать тип связи,^[А-Яа-яЁё-]+$,none,conservative,text_1,"Зависимое прилагательное изменяется вместе с существительным в роде, числе и падеже: это согласование.",reconstructed,original_authoring_qa_2026-07-10
B10,B,10,short_answer_token,word,Образуйте от слова «исходный» прилагательное с приставкой БЕЗ-. Запишите получившееся слово.,,,"[""безысходный""]",2,easy-medium,Орфография,Ы после русской приставки на согласную,Образовать и записать слово,^[А-Яа-яЁё-]+$,none,conservative,,После русской приставки на согласную начальная и корня заменяется на ы: безысходный.,reconstructed,original_authoring_qa_2026-07-10
B11,B,11,short_answer_token,word,"Запишите слово, вставив Н или НН: тщательно организова..ый семинар.",,,"[""организованный""]",2,easy-medium,Орфография,Н и НН в суффиксах причастий,Восстановить нормативное написание,^[А-Яа-яЁё-]+$,none,conservative,,Полное страдательное причастие с суффиксом -ованн- пишется с двумя н: организованный.,reconstructed,original_authoring_qa_2026-07-10
B12,B,12,short_answer_token,word,"В микротексте допущена одна орфографическая ошибка.

Вечером туристы расположились у костра и, несмотря на усталость, долго обсуждали завтрашний маршрут. Проводник напомнил, что в горах погода изменчива и расчитывать только на прогноз нельзя.

Выпишите ошибочно написанное слово, исправив его.",,,"[""рассчитывать""]",2,easy-medium,Орфография,Удвоенная согласная на стыке приставки и корня,Исправить слово,^[А-Яа-яЁё-]+$,none,conservative,,Нормативное написание — рассчитывать.,passed,original_authoring_qa_2026-07-10
B13,B,13,short_answer_token,digits,"Укажите цифры, на месте которых необходимо поставить запятые.

Когда поезд (1) наконец (2) остановился (3) пассажиры (4) утомлённые долгой дорогой (5) молча вышли на платформу.

Запишите выбранные цифры подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.",,,"[""345"",""354"",""435"",""453"",""534"",""543""]",2,medium,Пунктуация,Граница придаточной части и обособление причастного оборота,Выбрать позиции запятых,^[1-5]{3}$,none,conservative,,Запятая 3 отделяет придаточную часть времени. Запятые 4 и 5 обособляют распространённый причастный оборот. Наконец здесь не является вводным.,passed,original_authoring_qa_2026-07-10
B14,B,14,short_answer_token,word,"Как называется раздел языкознания, изучающий словарный состав языка? Запишите термин одним словом в именительном падеже.",,,"[""лексикология""]",2,easy-medium,Лексика и фразеология,Лингвистический термин,Назвать раздел языкознания,^[А-Яа-яЁё-]+$,none,conservative,,"Раздел языкознания, изучающий словарный состав языка, называется лексикологией.",corrected,original_authoring_qa_2026-07-10
B15,B,15,short_answer_token,word,"Из предложения выпишите вспомогательный глагол, входящий в составное глагольное сказуемое.

После разговора сотрудник начал работать внимательнее.",,,"[""начал""]",2,medium,Синтаксис,Составное глагольное сказуемое,Выписать вспомогательную часть,^[А-Яа-яЁё-]+$,none,conservative,,В сочетании начал работать глагол начал выражает фазовое значение и является вспомогательной частью сказуемого.,passed,original_authoring_qa_2026-07-10
B16,B,16,short_answer_token,digits,"Укажите предложения, в которых нарушены лексические нормы.
1. Команда одержала поражение в финальном матче.
2. Редактор исправил неточность в заголовке.
3. Главная суть предложения стала понятна после обсуждения.
4. Экспедиция достигла цели раньше установленного срока.
5. Руководитель уделил внимание каждому замечанию.

Запишите номера выбранных предложений подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.",,,"[""13"",""31""]",2,medium-hard,Лексические нормы,Лексическая сочетаемость и речевая избыточность,Найти предложения с нарушениями,^[1-5]{2}$,none,conservative,,"Нормативно: потерпела поражение, но одержала победу. Сочетание главная суть избыточно. Остальные предложения нормативны.",corrected,original_authoring_qa_2026-07-10
B17,B,17,short_answer_token,word,"Поставьте числительное, данное в скобках, в нормативную форму. Запишите только получившуюся форму.

К экспедиции присоединилось около (пятьсот) добровольцев.",,,"[""пятисот""]",2,medium,Морфологические нормы,Склонение количественного числительного,Записать форму родительного падежа,^[А-Яа-яЁё-]+$,none,conservative,,Предлог около требует родительного падежа: около пятисот добровольцев.,passed,original_authoring_qa_2026-07-10
B18,B,18,short_answer_token,digits,"Укажите предложения, в которых нарушены синтаксические нормы.
1. Прочитав отчёт, у меня возникли дополнительные вопросы.
2. Те, кто участвовал в обсуждении, поддержали принятое решение.
3. Согласно приказа сотрудники должны пройти инструктаж.
4. Пассажиры своевременно оплатили за проезд.
5. Автор не только описал проблему, но и предложил способ её решения.

Запишите номера выбранных предложений подряд без пробелов и знаков препинания. Порядок цифр не имеет значения.",,,"[""134"",""143"",""314"",""341"",""413"",""431""]",2,hard,Синтаксические нормы,Деепричастный оборот и управление,Найти предложения с нарушениями,^[1-5]{3}$,none,conservative,,В 1 действие деепричастия не относится к грамматическому подлежащему. После согласно нужен дательный падеж: согласно приказу. Глагол оплатить употребляется без предлога: оплатить проезд.,passed,original_authoring_qa_2026-07-10
B19,B,19,short_answer_token,alnum,"Установите соответствие между словами и особенностями их морфемного состава.

Слова:
А. подснежник
Б. серебристый
В. ледокол
Г. бездорожье

Особенности морфемного состава:
1. В слове два корня, соединительная гласная и нулевое окончание.
2. В слове есть приставка, корень, суффикс и нулевое окончание.
3. В слове есть корень, суффикс и выраженное окончание, но нет приставки.
4. В слове есть приставка, корень, суффикс и выраженное окончание.
5. В слове есть только корень и нулевое окончание.

Запишите ответ без пробелов в формате А2Б3В1Г4.",,,"[""А2Б3В1Г4""]",2,hard,Морфемика,Морфемный состав слова,Установить четыре соответствия,^А[1-5]Б[1-5]В[1-5]Г[1-5]$,none,conservative,,"Подснежник: приставка, корень, суффикс, нулевое окончание. Серебристый: корень, суффикс, выраженное окончание. Ледокол: два корня, соединительная гласная, нулевое окончание. Бездорожье: приставка, корень, суффикс, выраженное окончание.",corrected,original_authoring_qa_2026-07-10
B20,B,20,short_answer_token,alnum,"Установите соответствие между словами и способами их образования.

Слова:
А. каменщик
Б. сверхмощный
В. птицефабрика
Г. подберёзовик

Способы образования:
1. Приставочный.
2. Суффиксальный.
3. Приставочно-суффиксальный.
4. Сложение основ.
5. Бессуффиксный.

Запишите ответ без пробелов в формате А2Б1В4Г3.",,,"[""А2Б1В4Г3""]",2,hard,Словообразование,Способы образования слов,Установить четыре соответствия,^А[1-5]Б[1-5]В[1-5]Г[1-5]$,none,conservative,,"Каменщик образован суффиксальным способом, сверхмощный — приставочным, птицефабрика — сложением основ, подберёзовик — приставочно-суффиксальным.",corrected,original_authoring_qa_2026-07-10
B21,B,21,short_answer_token,alnum,"Установите соответствие между выделенными словами и частями речи, к которым они относятся.

Предложения:
А. *Впереди* показалась пристань.
Б. *Вследствие* тумана рейс задержали.
В. *Даже* опытный проводник ошибся.
Г. Мы вернулись, *потому что* началась гроза.

Части речи:
1. Союз.
2. Частица.
3. Наречие.
4. Производный предлог.
5. Местоимение.

Запишите ответ без пробелов в формате А3Б4В2Г1.",,,"[""А3Б4В2Г1""]",2,hard,Морфология,Части речи,Установить четыре соответствия,^А[1-5]Б[1-5]В[1-5]Г[1-5]$,none,conservative,,Впереди — наречие; вследствие — производный предлог; даже — частица; потому что — составной подчинительный союз.,corrected,original_authoring_qa_2026-07-10
B22,B,22,short_answer_token,alnum,"Установите соответствие между предложениями и их синтаксическими характеристиками.

Предложения:
А. Когда рассвело, лодки вышли из бухты.
Б. Ветер ослаб, и море быстро успокоилось.
В. Я поднял фонарь: тропа исчезла в тумане.
Г. Я понял, что мост закрыт, и мы свернули к переправе.

Синтаксические характеристики:
1. Сложноподчинённое предложение.
2. Сложносочинённое предложение.
3. Бессоюзное сложное предложение.
4. Сложное предложение с разными видами связи.
5. Простое осложнённое предложение.

Запишите ответ без пробелов в формате А1Б2В3Г4.",,,"[""А1Б2В3Г4""]",2,hard,Синтаксис,Типы сложных предложений,Установить четыре соответствия,^А[1-5]Б[1-5]В[1-5]Г[1-5]$,none,conservative,,А — СПП; Б — ССП; В — бессоюзное сложное; Г содержит подчинительную и сочинительную связь.,corrected,original_authoring_qa_2026-07-10
